"Time","46 sw offset","45 sw onset","23 toex (cm)","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.00,0,0,14.398599,-0.01746,0.00344,-0.02065,-0.01362,0.00823,-0.01239,0.00536,0.00192,-1.47891,0.10129,3.27687
0.01,0,0,14.330627,-0.01667,0.00400,-0.02069,-0.01384,0.00852,-0.01262,0.00383,-0.00057,-1.47982,0.10166,3.27695
0.02,0,1,14.228565,-0.01762,0.00798,-0.01706,-0.01540,0.00779,-0.01220,0.04857,-0.01097,-1.48014,0.10191,3.27763
0.03,0,0,14.214235,-0.01896,0.01066,-0.02437,-0.01696,0.00847,-0.01221,-0.01039,0.00364,-1.47872,0.10134,3.27678
0.04,0,0,14.369702,-0.00618,-0.00135,-0.02086,-0.01497,0.00875,-0.01188,0.00513,0.00181,-1.48079,0.10018,3.27698
0.05,0,0,14.851212,-0.01687,0.00613,-0.02448,-0.01282,0.00886,-0.01252,0.01747,0.00023,-1.47962,0.10045,3.27725
0.06,0,0,15.373554,-0.01781,0.00845,-0.03256,-0.00832,0.00802,-0.01138,0.00803,0.00421,-1.47851,0.10135,3.27754
0.07,0,0,15.607770,-0.01986,0.00322,-0.02068,-0.01351,0.00859,-0.01297,0.00958,0.00153,-1.48169,0.10172,3.27614
0.08,0,0,15.852182,-0.01975,0.00549,-0.02004,-0.01251,0.00857,-0.01271,0.03058,0.00338,-1.47789,0.10146,3.27672
0.09,0,0,16.050987,-0.01934,0.00397,-0.02176,-0.01484,0.00934,-0.01191,0.00622,0.00933,-1.47650,0.10088,3.27722
0.10,0,0,16.156484,-0.01787,0.00439,-0.01885,-0.01318,0.00851,-0.01251,0.00671,0.00244,-1.48015,0.10036,3.27762
0.11,0,0,16.241649,-0.01539,0.00397,-0.02414,-0.01310,0.00904,-0.01172,0.00667,0.00326,-1.48151,0.10072,3.27739
0.12,0,0,16.372763,-0.01768,0.00398,-0.02105,-0.01585,0.00820,-0.01213,0.03948,0.00269,-1.47785,0.10182,3.27725
0.13,0,0,16.518905,-0.01722,0.00401,-0.02045,-0.01286,0.00765,-0.01212,-0.03238,0.00240,-1.47939,0.10205,3.27722
0.14,0,0,16.629854,-0.01901,0.00317,-0.02055,-0.01434,0.00878,-0.01221,0.03183,0.00302,-1.47969,0.10110,3.27709
0.15,0,0,16.818371,-0.01735,0.00325,-0.01852,-0.01408,0.00935,-0.01319,0.00246,0.04733,-1.48008,0.10047,3.27710
0.16,0,0,17.003710,-0.01726,0.00374,-0.02095,-0.01372,0.00787,-0.01263,0.00862,-0.00157,-1.48250,0.10011,3.27707
0.17,0,0,17.171511,-0.01783,0.00381,-0.01983,-0.01257,0.00760,-0.01202,0.00471,0.00189,-1.47935,0.10015,3.27722
0.18,1,0,17.522486,-0.01600,0.00265,-0.02106,-0.01342,0.00961,-0.01317,0.00423,0.00270,-1.47957,0.09990,3.27789
0.19,0,0,17.556224,-0.01432,0.00367,-0.01994,-0.01403,0.00802,-0.01201,0.00493,0.00280,-1.48168,0.09987,3.27651
0.20,0,0,17.392569,-0.01764,0.00389,-0.02070,-0.01373,0.00891,-0.01350,0.00635,0.00215,-1.48186,0.09939,3.27657
0.21,0,0,17.269059,-0.02134,0.00239,-0.02059,-0.01420,0.00855,-0.01158,0.00606,0.00361,-1.47724,0.09943,3.27673
0.22,0,0,17.178640,-0.01494,0.00355,-0.01998,-0.01302,0.00946,-0.01262,0.00485,0.00306,-1.47857,0.10001,3.27643
0.23,0,0,17.047615,-0.01165,0.00298,-0.02010,-0.01280,0.00810,-0.01198,0.00488,0.00282,-1.48064,0.10001,3.27660
0.24,0,0,16.894272,-0.01910,0.00510,-0.02090,-0.01548,0.00762,-0.01067,0.00633,0.00262,-1.47982,0.09935,3.27672
0.25,0,0,16.728491,-0.01771,0.00389,-0.02019,-0.01486,0.00872,-0.01288,0.00591,0.00314,-1.47748,0.09929,3.27711
0.26,0,0,16.596679,-0.01198,0.00325,-0.01959,-0.01405,0.00925,-0.01218,0.00572,0.00328,-1.48250,0.09956,3.27704
0.27,0,0,16.493221,-0.01495,0.00409,-0.01977,-0.01495,0.00893,-0.01292,0.00579,0.00239,-1.47912,0.09962,3.27710
0.28,0,0,16.358322,-0.01185,0.00470,-0.02091,-0.01253,0.00848,-0.01272,0.00531,0.00262,-1.47849,0.09964,3.27687
0.29,0,0,16.256472,-0.01917,0.00459,-0.02137,-0.01583,0.00853,-0.01120,0.00500,0.00267,-1.47949,0.09949,3.27612
0.30,0,0,16.729574,-0.01053,0.00405,-0.02050,-0.01348,0.00814,-0.01288,0.00519,0.00292,-1.47448,0.09911,3.27673
0.31,0,0,16.449269,-0.00960,0.00578,-0.02182,-0.01730,0.00792,-0.01297,0.00634,0.00195,-1.47805,0.09952,3.27757
0.32,0,0,16.007953,-0.01770,0.00706,-0.02034,-0.01346,0.00837,-0.01201,0.00416,0.00236,-1.47942,0.09977,3.27740
0.33,0,0,15.854788,-0.01399,0.00422,-0.02050,-0.01544,0.00866,-0.01139,0.00567,0.00305,-1.47912,0.10013,3.27640
0.34,0,0,15.743776,-0.01781,0.00380,-0.02023,-0.01395,0.00890,-0.01270,0.00580,0.00232,-1.47804,0.10081,3.27766
0.35,0,0,15.627099,-0.01814,0.00271,-0.02024,-0.01348,0.00814,-0.01158,0.00448,0.00226,-1.47737,0.10084,3.27681
0.36,0,0,15.348397,-0.01636,0.00291,-0.01958,-0.01228,0.00812,-0.01281,0.00535,0.00259,-1.47781,0.10061,3.27728
0.37,0,0,15.265324,-0.01576,0.00450,-0.01953,-0.01422,0.00965,-0.01189,0.00530,0.00226,-1.47864,0.10021,3.27678
0.38,0,0,15.124126,-0.01650,0.00550,-0.02048,-0.01484,0.00788,-0.01178,0.00542,0.00316,-1.47979,0.09995,3.27692
0.39,0,0,14.972636,-0.01880,0.00372,-0.02070,-0.01375,0.00853,-0.01373,0.00390,0.00254,-1.47773,0.09995,3.27661
0.40,0,0,14.764610,-0.01807,0.00369,-0.01984,-0.01301,0.00872,-0.01246,0.00519,0.00316,-1.47841,0.10029,3.27739
0.41,0,1,14.704582,-0.01694,0.00390,-0.01969,-0.01409,0.00760,-0.01176,-0.02220,0.00343,-1.47852,0.10002,3.27673
0.42,0,0,14.678126,-0.03215,0.00906,-0.02809,-0.02084,0.00779,-0.01185,-0.00307,-0.00546,-1.47830,0.09922,3.27707
0.43,0,0,15.229120,-0.01908,0.00355,-0.02075,-0.00925,0.00788,-0.01289,0.00693,0.05888,-1.47854,0.09935,3.27763
0.44,0,0,14.850091,-0.01817,0.00369,-0.01089,-0.00728,0.00944,-0.01361,0.00959,0.00199,-1.47892,0.09918,3.27750
0.45,0,0,15.732967,-0.01855,0.00561,-0.02531,-0.01515,0.00874,-0.01270,-0.04566,-0.00063,-1.47801,0.09892,3.27731
0.46,0,0,15.979786,-0.01746,0.00278,-0.01506,-0.00884,0.00922,-0.01125,-0.00657,0.00229,-1.47953,0.09980,3.27730
0.47,0,0,16.310133,-0.01621,0.00328,-0.02121,-0.01272,0.00777,-0.01367,0.00909,0.00333,-1.47817,0.10003,3.27742
0.48,0,0,16.654048,-0.01685,0.00183,-0.01821,-0.01405,0.00870,-0.01183,0.01261,0.00326,-1.47919,0.10025,3.27722
0.49,0,0,16.818799,-0.01711,0.00326,-0.02049,-0.01416,0.00886,-0.01144,0.00138,0.00298,-1.47747,0.10073,3.27754
0.50,0,0,16.858599,-0.01740,0.00519,-0.02041,-0.01397,0.00989,-0.01229,-0.01012,-0.00046,-1.47900,0.10076,3.27599
0.51,1,0,16.877488,-0.01765,0.00450,-0.01938,-0.01390,0.00803,-0.01158,-0.01330,0.00321,-1.47996,0.10069,3.27756
