"Time","2 Trdml","45 sw onset","46 sw offset"
0.00,0.36923,0,0
0.01,0.35815,1,0
0.02,0.35572,0,0
0.03,0.35122,0,0
0.04,0.34865,0,0
0.05,0.33993,0,0
0.06,0.33232,0,0
0.07,0.32690,0,1
0.08,0.32473,0,0
0.09,0.32551,0,0
0.10,0.32719,0,0
0.11,0.33132,0,0
0.12,0.32974,0,0
0.13,0.33442,0,0
0.14,0.32492,1,0
0.15,0.32725,0,0
0.16,0.33048,0,0
0.17,0.33198,0,0
0.18,0.33670,0,1
0.19,0.33983,0,0
0.20,0.34147,0,0
0.21,0.33534,0,0
0.22,0.32911,0,0
0.23,0.32489,0,0
0.24,0.32143,0,0
0.25,0.31890,0,0
0.26,0.31786,0,0
0.27,0.31693,0,0
0.28,0.31906,0,0
0.29,0.31601,0,0
0.30,0.31275,0,0
0.31,0.30792,0,0
0.32,0.31402,0,0
0.33,0.32054,0,0
0.34,0.32757,0,0
0.35,0.33644,0,0
0.36,0.34177,0,0
0.37,0.34416,0,0
0.38,0.34749,0,0
0.39,0.35072,0,0
0.40,0.35282,1,0
0.41,0.35522,0,0
0.42,0.36365,0,0
0.43,0.36982,0,0
0.44,0.37323,0,0
0.45,0.37257,0,0
0.46,0.36530,0,0
0.47,0.37304,0,1
0.48,0.37264,0,0
0.49,0.36964,0,0
0.50,0.37221,0,0
0.51,0.37714,0,0
0.52,0.38157,0,0
0.53,0.38388,0,0
0.54,0.38132,0,0
0.55,0.37790,0,0
0.56,0.37948,0,0
0.57,0.38111,0,0
0.58,0.38020,0,0
0.59,0.38107,0,0
0.60,0.37943,0,0
0.61,0.37830,0,0
0.62,0.37372,0,0
0.63,0.36728,0,0
0.64,0.36523,0,0
0.65,0.36550,0,0
0.66,0.36626,0,0
0.67,0.36777,0,0
0.68,0.37602,0,0
0.69,0.38251,0,0
0.70,0.39079,1,0
0.71,0.39845,0,0
0.72,0.40419,0,0
0.73,0.41015,0,0
0.74,0.41495,0,0
0.75,0.41599,0,0
0.76,0.41929,0,0
0.77,0.42149,0,0
0.78,0.42669,0,1
0.79,0.42781,0,0
0.80,0.42727,0,0
0.81,0.42923,0,0
0.82,0.43482,0,0
0.83,0.44404,0,0
0.84,0.45443,0,0
0.85,0.46583,0,0
0.86,0.48094,0,0
0.87,0.49405,0,0
0.88,0.50793,0,0
0.89,0.51250,0,0
0.90,0.49420,0,0
0.91,0.47176,0,0
0.92,0.45515,0,0
0.93,0.45066,0,0
0.94,0.44480,0,0
0.95,0.43863,0,0
0.96,0.42904,0,0
0.97,0.42129,0,0
0.98,0.41627,0,0
