"Time"	"1 Synch"	"2 Trdml"	"3 Platform"	"4 GM"	"5 Ip"	"6 BF"	"7 VL"	"8 St"	"9 TA"	"10 Gs"	"11 Gr"	"12 Synch"	"13 Crx (cm)"	"14 Cry (cm)"	"15 Hipx (cm)"	"16 Hipy (cm)"	"17 Knee x"	"18 Knee y"	"19 ankx (cm)"	"20 anky (cm)"	"21 MTPx (cm)"	"22 MTPy (cm)"	"23 toex (cm)"	"24 toey (cm)"	"25 FLtx (cm)"	"26 FLty (cm)"	"27 HLx (cm)"	"28 HLy (cm)"	"29 HRx (cm)"	"30 HRy (cm)"	"31 Keyboard"	"32 FLx (cm)"	"33 FLy (cm)"	"34 FRx (cm)"	"35 FRy (cm)"	"36 CoMx (cm)"	"37 CoMy (cm)"	"38 Hip (deg)"	"39 Knee (deg"	"40 Ankle (de"	"41 MTP (deg)"	"42 Ramp up"	"43 Ramp down"	"44 sw onset"	"45 sw offset"	"46 sw rmp up"	"47 st rmp up"	"48 sw rmp dw"	"49 st rmp dw"	"50 sinus rmp"	"51 rFL swon"	"52 rFL swoff"	"53 lFL swon"	"54 lFL swoff"	"55 rHL swon"	"56 rHL swoff"	"57 lHL swon"	"58 lHL swoff"	"59 left DS"	"60 right DS"	"61 Ramp up"	"62 Ramp down"	"63 sinus"
0.000	3.27807	0.09537	0.00000	0.00319	0.00387	-0.01049	0.00817	-0.01403	-0.02008	0.00816	-0.01875	0	8.558371	10.869261	7.526020	10.758125	7.453336	9.456060	5.971878	9.251237	6.156060	8.426963	6.674855	8.246490	11.596958	8.832747	7.761692	6.342326	7.222574	3.874776	0	11.581125	5.087803	12.129797	3.782182	9.815670	4.793552	100.469694	101.461733	85.343096	121.181553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.001	3.27701	0.09577	0.00026	0.00355	0.00569	-0.01091	0.00651	-0.01180	-0.02042	0.00138	-0.01895	0	8.566100	10.870214	7.533830	10.753848	7.450957	9.454825	5.968617	9.255116	6.150560	8.427154	6.671722	8.248762	11.622914	8.828441	7.798861	6.338843	7.215116	3.873141	0	11.576006	5.085591	12.171591	3.781135	9.829204	4.791259	100.962501	101.633534	85.431500	121.076151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.002	3.27742	0.09590	0.00011	0.00282	0.00584	-0.01292	0.00866	-0.01372	-0.02018	0.00446	-0.01666	0	8.573823	10.871303	7.540827	10.750591	7.448726	9.454168	5.965866	9.259486	6.146078	8.427112	6.670054	8.250914	11.652238	8.825092	7.838492	6.338245	7.207313	3.869976	0	11.571753	5.084994	12.210333	3.778917	9.842611	4.790233	101.378550	101.755792	85.511372	120.944937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.003	3.27818	0.09582	0.00013	-0.00093	0.00406	-0.01533	0.00656	0.00287	-0.02023	0.00412	-0.01731	0	8.581512	10.871669	7.547512	10.748654	7.446536	9.453836	5.963180	9.264755	6.140476	8.428942	6.665711	8.252726	11.688152	8.825614	7.879485	6.341980	7.198444	3.866941	0	11.566776	5.085661	12.243825	3.775771	9.855752	4.791358	101.729408	101.821933	85.585421	120.765640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.004	3.27767	0.09562	0.00017	0.00012	0.00488	-0.01124	0.00905	-0.01602	-0.02010	0.00632	-0.01935	0	8.589173	10.870625	7.554303	10.748196	7.444310	9.453568	5.960186	9.271235	6.132053	8.434198	6.655413	8.254046	11.732884	8.832202	7.920842	6.350711	7.188019	3.865440	0	11.559767	5.087185	12.270672	3.771932	9.868526	4.795109	102.029226	101.827981	85.656068	120.514453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.005	3.27660	0.09558	0.00031	0.00331	0.00634	-0.00491	0.00515	-0.01115	-0.01874	0.00352	-0.01684	0	8.596972	10.868399	7.561181	10.748638	7.442149	9.453062	5.956909	9.278710	6.121471	8.441479	6.640474	8.255091	11.783388	8.843217	7.962130	6.360902	7.176801	3.865532	0	11.550931	5.088886	12.293771	3.767574	9.881039	4.799766	102.305956	101.783830	85.724182	120.159375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.006	3.27622	0.09583	-0.00013	0.01334	0.00464	-0.01191	0.01047	-0.01506	-0.02060	0.00148	-0.01682	0	8.605128	10.865524	7.567982	10.749153	7.440205	9.451998	5.953503	9.286793	6.110176	8.448403	6.623733	8.256204	11.834857	8.855743	8.003099	6.367615	7.165967	3.866825	0	11.540973	5.089989	12.317447	3.762854	9.893465	4.802887	102.592139	101.703991	85.790114	119.665679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.007	3.27648	0.09599	0.00000	0.01102	0.00585	-0.01168	0.00835	-0.01294	-0.01891	0.00422	-0.01635	0	8.613863	10.862533	7.574541	10.748915	7.438637	9.450060	5.950123	9.295095	6.099615	8.452585	6.608032	8.257727	11.882485	8.866862	8.043501	6.365915	7.156694	3.868927	0	11.530600	5.089719	12.346026	3.757928	9.905976	4.802023	102.920320	101.602975	85.854220	118.998634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.008	3.27690	0.09578	-0.00015	0.00255	0.00559	-0.01151	0.00870	-0.01398	-0.02085	0.00435	-0.01918	0	8.623377	10.859889	7.580762	10.747224	7.437581	9.447025	5.946926	9.303271	6.090948	8.452203	6.595676	8.259962	11.922500	8.874197	8.082951	6.352270	7.149849	3.871445	0	11.520396	5.087550	12.382774	3.753126	9.918637	4.795502	103.318574	101.496072	85.920827	118.138480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.009	3.27726	0.09545	0.00015	0.00219	0.00402	-0.00869	0.00829	-0.01232	-0.01976	0.00448	-0.01780	0	8.633762	10.857663	7.586917	10.744054	7.437094	9.443193	5.944080	9.311211	6.083800	8.448420	6.586091	8.262992	11.956650	8.878247	8.120344	6.330658	7.144632	3.873982	0	11.510311	5.084289	12.425284	3.749704	9.930909	4.785774	103.791095	101.402716	86.015520	117.145430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.010	3.27739	0.09562	0.00015	0.00356	0.00522	-0.01093	0.00427	-0.01337	-0.02056	0.00457	-0.01779	0	8.645074	10.855802	7.593398	10.739608	7.437201	9.439037	5.941756	9.318886	6.077286	8.443393	6.577748	8.266830	11.988518	8.880469	8.154332	6.307551	7.139693	3.876141	0	11.500077	5.081183	12.469264	3.749227	9.942059	4.776661	104.334130	101.343722	86.170951	116.106299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.011	3.27730	0.09593	-0.00011	-0.00549	0.00463	-0.01317	0.00932	-0.01393	-0.01972	0.00699	-0.01979	0	8.657370	10.854248	7.600600	10.734084	7.437927	9.435028	5.940126	9.326264	6.070522	8.439282	6.569116	8.271487	12.021692	8.882322	8.183570	6.289428	7.133679	3.877523	0	11.489429	5.079481	12.510420	3.753259	9.951352	4.771986	104.943923	101.339907	86.419775	115.107919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
