"Time","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","50 Sinus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Rump up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","60 Right DS","v3 R COP","70 RDS cle","58 FLr Sw of","57 FLr Sw on","34 FRx (cm)","34a FRx (cm)","54 HLr Sw of","53 HLr Sw on","29 HRx (cm)","29a HRx (cm)","56 FLl Sw of","v5 L COP","71 LDS cle","59 Left DS","v6 L Mos","37a CoMy (cm)","v4 R Mos","55 FLl Sw on","32a FLx (cm)","32 FLx (cm)","52 HLl Sw of","31 Keyboard","51 HLl Sw on","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","1 Synch","69 L marks","68 R marks","67 xCoM","28 HLy (cm)","33 FLy (cm)","v7 xCoM","27a HLx (cm)","3 Platform","2 Trdml","35 FRy (cm)","30 HRy (cm)","v2 Virtual","v1 Virtual","37b CoMy (cm)","37 CoMy (cm)"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.152725,38.836414,93.384926,61.204708,16.885197,0,0.000000,1,0,0,17.646563,-10.949568,0,0,15.703950,14.957375,0,0.000000,1,1,-5.747885,0.712432,5.747885,0,-6.722001,19.353374,0,0,0,14.197781,8.103909,17.590870,8.337030,15.676495,8.299524,14.953815,8.252051,14.025895,9.294834,15.387467,10.581093,14.610349,10.698293,15.770784,0,-0.01707,0.00363,-0.02181,-0.01362,0.01017,-0.01311,0.00968,0.01094,3.27700,0,0,5.747933,6.798440,6.284238,5.747933,14.197781,-0.00014,0.09750,4.611454,4.085322,-1.313469,-56.194035,5.792257,-0.964758
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.876144,39.721272,92.376015,59.590584,16.889257,0,0.000000,1,0,0,17.636023,-10.933107,0,0,15.718310,15.212979,0,0.000000,1,1,-5.746593,0.726468,5.746593,0,-3.925420,19.361980,0,0,0,14.185606,8.102605,17.581892,8.338476,15.693251,8.298003,14.969146,8.249677,14.030373,9.313690,15.427134,10.577030,14.615871,10.698580,15.774193,0,-0.01992,0.00353,-0.02090,-0.01321,0.00825,-0.01181,0.00172,0.00101,3.27745,0,0,5.746608,6.797544,6.282495,5.746608,14.185606,-0.00029,0.09758,4.611536,4.080598,-1.193305,-25.786533,5.792498,-0.989670
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.605392,40.881329,92.118828,58.396248,16.897348,0,0.000000,1,0,0,17.625439,-10.915288,0,0,15.733196,15.475106,0,0.000000,1,1,-5.745411,0.640328,5.745411,0,-1.806883,19.370272,0,0,0,14.173533,8.101366,17.571669,8.340096,15.711602,8.299296,14.988479,8.265175,14.095396,9.339028,15.467279,10.575737,14.618012,10.698390,15.778329,0,-0.01856,0.00392,-0.01984,-0.01323,0.00856,-0.01208,0.00811,-0.00125,3.27737,0,0,5.745392,6.796975,6.280740,5.745392,14.173533,0.00015,0.09787,4.611842,4.076377,-1.102353,-2.746452,5.795478,-1.008619
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.336945,42.150543,92.159805,57.368423,16.907042,0,0.000000,1,0,0,17.614841,-10.896930,0,0,15.748289,15.739821,0,0.000000,1,1,-5.744257,0.514453,5.744257,0,0.042708,19.378437,0,0,0,14.161502,8.100152,17.560949,8.341784,15.730587,8.301706,15.009399,8.287763,14.184435,9.366938,15.507615,10.575543,14.618813,10.698012,15.782753,0,-0.01700,0.00306,-0.02199,-0.01375,0.00834,-0.01195,0.00604,0.00345,3.27707,0,0,5.744218,6.796535,6.278981,5.744218,14.161502,0.00000,0.09792,4.612236,4.072356,-1.022987,17.371353,5.799544,-1.025203
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.068512,43.419758,92.200783,56.340599,16.916733,0,0.000000,1,0,0,17.604242,-10.878572,0,0,15.763382,16.004536,0,0.000000,1,1,-5.743075,0.388578,5.743075,0,1.892300,19.386604,0,0,0,14.149471,8.098938,17.550232,8.343472,15.749572,8.304116,15.030321,8.310350,14.273474,9.394847,15.547951,10.575349,14.619613,10.697634,15.787178,0,-0.01648,0.00305,-0.01987,-0.01374,0.00848,-0.01225,0.00612,0.00247,3.27698,0,0,5.743045,6.796096,6.277221,5.743045,14.149471,0.00015,0.09761,4.612630,4.068336,-0.943622,37.489159,5.803611,-1.041787
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.800064,44.688972,92.241760,55.312771,16.926426,0,0.000000,1,0,0,17.593643,-10.860213,0,0,15.778475,16.269251,0,0.000000,1,1,-5.741885,0.262703,5.741885,0,3.741892,19.394770,0,0,0,14.137440,8.097724,17.539515,8.345161,15.768556,8.306525,15.051242,8.332938,14.362513,9.422756,15.588286,10.575155,14.620414,10.697256,15.791602,0,-0.01810,0.00423,-0.02104,-0.01343,0.00904,-0.01165,0.00741,0.00319,3.27698,0,0,5.741871,6.795656,6.275461,5.741871,14.137440,0.00016,0.09765,4.613024,4.064314,-0.864256,57.606964,5.807677,-1.058371
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.550873,45.186760,92.236801,54.862553,16.933084,0,0.000000,1,0,0,17.583197,-10.832758,0,0,15.795657,16.513853,0,0.000000,1,1,-5.740554,0.043661,5.740554,0,4.886980,19.402794,0,0,0,14.126008,8.094858,17.529053,8.347045,15.785655,8.307181,15.069952,8.337445,14.404588,9.432966,15.605577,10.574725,14.623567,10.697535,15.796926,0,-0.01671,0.00333,-0.02085,-0.01328,0.00835,-0.01354,-0.00073,0.00200,3.27671,0,0,5.740620,6.794990,6.273582,5.740620,14.126008,0.00015,0.09787,4.613498,4.060890,-0.814819,70.062622,5.807806,-1.068336
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.309311,45.378563,92.213623,54.641441,16.938540,0,0.000000,1,0,0,17.572809,-10.801694,0,0,15.813668,16.750479,0,0.000000,1,1,-5.739187,-0.212336,5.739187,0,5.752628,19.410763,0,0,0,14.114815,8.091339,17.518692,8.349005,15.802007,8.307141,15.087786,8.334779,14.428035,9.436156,15.613728,10.574202,14.627653,10.698073,15.802606,0,-0.01785,0.00308,-0.01955,-0.01401,0.00791,-0.01146,-0.00139,-0.00530,3.27633,0,0,5.739338,6.794234,6.271657,5.739338,14.114815,0.00000,0.09780,4.614004,4.057702,-0.777253,79.479095,5.806372,-1.075677
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.067764,45.570366,92.190445,54.420326,16.943995,0,0.000000,1,0,0,17.562422,-10.770630,0,0,15.831678,16.987103,0,0.000000,1,1,-5.737944,-0.468333,5.737944,0,6.618277,19.418732,0,0,0,14.103621,8.087819,17.508331,8.350965,15.818357,8.307102,15.105619,8.332113,14.451483,9.439346,15.621877,10.573678,14.631739,10.698612,15.808285,0,-0.01553,0.00301,-0.02094,-0.01344,0.00846,-0.01225,0.00736,0.00280,3.27659,0,0,5.738056,6.793478,6.269732,5.738056,14.103621,-0.00000,0.09746,4.614510,4.054514,-0.739686,88.895576,5.804939,-1.083017
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.826202,45.762169,92.167267,54.199215,16.949450,0,0.000000,1,0,0,17.552034,-10.739566,0,0,15.849689,17.223728,0,0.000000,1,1,-5.736733,-0.724330,5.736733,0,7.483925,19.426701,0,0,0,14.092428,8.084299,17.497972,8.352925,15.834709,8.307062,15.123453,8.329448,14.474930,9.442536,15.630027,10.573154,14.635825,10.699151,15.813965,0,-0.01873,0.00349,-0.01985,-0.01332,0.00832,-0.01183,-0.00250,-0.00725,3.27713,0,0,5.736773,6.792722,6.267806,5.736773,14.092428,0.00000,0.09746,4.615016,4.051326,-0.702120,98.312057,5.803505,-1.090357
