"Time","v5 L COP","v3 R COP","70 RDS cle","34 FRx (cm)","29 HRx (cm)","71 LDS cle","37a CoMy (cm)","32 FLx (cm)","27 HLx (cm)","67 xCoM","v7 xCoM","3 Platform","2 Trdml","37b CoMy (cm)","37 CoMy (cm)"
0.000,0.000000,0.000000,0,14.906266,10.402681,0,-0.178977,13.294827,10.517498,5.638552,5.638552,-1.48002,0.09718,5.630191,0.118273
0.001,0.000000,0.000000,0,14.910243,10.391422,0,-0.097798,13.285635,10.517498,5.636618,5.636618,-1.48165,0.09722,5.629945,0.079218
0.002,0.000000,0.000000,0,14.914220,10.380162,0,-0.016619,13.276443,10.517498,5.634683,5.634683,-1.48032,0.09696,5.629699,0.040163
0.003,0.000000,0.000000,0,14.918197,10.368903,0,0.064560,13.267252,10.517498,5.632749,5.632749,-1.48014,0.09680,5.629453,0.001109
0.004,0.000000,0.000000,0,14.922611,10.360287,0,0.170913,13.252231,10.523308,5.631236,5.631236,-1.48029,0.09689,5.628904,-0.036851
0.005,0.000000,0.000000,0,14.927343,10.353584,0,0.295494,13.232987,10.533325,5.630029,5.630029,-1.47975,0.09698,5.628137,-0.074016
0.006,0.000000,0.000000,0,14.932076,10.346882,0,0.420075,13.213744,10.543342,5.628821,5.628821,-1.48161,0.09691,5.627369,-0.111181
0.007,0.000000,0.000000,0,14.936808,10.340179,0,0.544656,13.194501,10.553359,5.627614,5.627614,-1.48034,0.09669,5.626601,-0.148347
0.008,0.000000,0.000000,0,14.941051,10.331203,0,0.626946,13.184528,10.558665,5.625518,5.625518,-1.48005,0.09673,5.629003,-0.187486
0.009,0.000000,0.000000,0,14.944942,10.320580,0,0.678611,13.181269,10.560562,5.622780,5.622780,-1.48026,0.09701,5.633698,-0.228055
0.010,0.000000,0.000000,0,14.948833,10.309957,0,0.730275,13.178009,10.562458,5.620041,5.620041,-1.48106,0.09699,5.638394,-0.268624
0.011,0.000000,0.000000,0,14.952724,10.299333,0,0.781940,13.174749,10.564355,5.617303,5.617303,-1.48128,0.09676,5.643091,-0.309193
0.012,0.000000,0.000000,0,14.956730,10.280827,0,0.745686,13.164892,10.568860,5.615000,5.615000,-1.48000,0.09687,5.645588,-0.354722
0.013,0.000000,0.000000,0,14.960821,10.256611,0,0.645766,13.150257,10.575254,5.613012,5.613012,-1.48034,0.09715,5.646495,-0.403844
0.014,0.000000,0.000000,0,14.964912,10.232395,0,0.545847,13.135621,10.581648,5.611025,5.611025,-1.47712,0.09705,5.647401,-0.452965
0.015,0.000000,0.000000,0,14.969003,10.208179,0,0.445927,13.120986,10.588042,5.609037,5.609037,-1.48026,0.09686,5.648308,-0.502086
0.016,0.000000,0.000000,0,14.972513,10.191895,0,0.420691,13.112491,10.590746,5.606665,5.606665,-1.48889,0.09701,5.644426,-0.548498
