"Time","v3 L COP","v1 xCoM","v2 R COP","37a CoMy (cm)","70 RDS cle","34 FRx (cm)","29 HRx (cm)","71 LDS cle","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,6.875190,0.000000,6.781906,0,17.501116,10.988075,0,16.759678,13.193781,1.47442,0.09906
0.001,0.000000,6.885227,0.000000,6.824865,0,17.498047,10.981296,0,16.746922,13.186112,1.47926,0.09885
0.002,0.000000,6.895120,0.000000,6.867826,0,17.494980,10.974516,0,16.734163,13.178445,1.46985,0.09876
0.003,0.000000,6.904873,0.000000,6.910786,0,17.491911,10.967736,0,16.721405,13.170776,1.47883,0.09900
0.004,0.000000,6.914489,0.000000,6.975813,0,17.486851,10.960588,0,16.711075,13.162152,1.47818,0.09896
0.005,0.000000,6.923971,0.000000,7.071066,0,17.479065,10.952938,0,16.704071,13.152218,1.48191,0.09863
0.006,0.000000,6.933632,0.000000,7.166319,0,17.471277,10.945287,0,16.697065,13.142284,1.48237,0.09846
0.007,0.000000,6.943469,0.000000,7.261573,0,17.463491,10.937635,0,16.690062,13.132350,1.48239,0.09874
0.008,0.000000,6.953824,0.000000,7.370238,0,17.453152,10.929688,0,16.680897,13.122524,1.48200,0.09873
0.009,0.000000,6.964688,0.000000,7.497272,0,17.439320,10.921336,0,16.668776,13.112848,1.48138,0.09840
0.010,0.000000,6.975987,0.000000,7.624308,0,17.425486,10.912984,0,16.656654,13.103172,1.48555,0.09833
0.011,0.000000,6.987715,0.000000,7.751342,0,17.411652,10.904631,0,16.644533,13.093496,1.48362,0.09850
0.012,0.000000,6.999494,0.000000,7.874279,0,17.396900,10.895007,0,16.633743,13.085691,1.48439,0.09836
0.013,0.000000,7.011322,0.000000,7.991600,0,17.380894,10.883643,0,16.624779,13.080451,1.48121,0.09813
0.014,0.000000,7.022844,0.000000,8.108922,0,17.364887,10.872279,0,16.615812,13.075211,1.48287,0.09791
0.015,0.000000,7.034066,0.000000,8.226244,0,17.348881,10.860915,0,16.606846,13.069969,1.48270,0.09799
0.016,0.000000,7.044674,0.000000,8.305077,0,17.336676,10.849420,0,16.595848,13.061706,1.48401,0.09808
0.017,0.000000,7.054680,0.000000,8.331190,0,17.329681,10.837743,0,16.582069,13.049301,1.48580,0.09787
0.018,0.000000,7.063724,0.000000,8.357305,0,17.322685,10.826066,0,16.568291,13.036896,1.48195,0.09764
0.019,0.000000,7.071821,0.000000,8.383419,0,17.315691,10.814389,0,16.554512,13.024491,1.48331,0.09786
