"Time","60 right DS","59 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","24 toey (cm)","16 Hipy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,1,0,0.000000,5.345935,6.394731,-4.233754,6.595171,5.687725,7.193942,5.002890,6.461174,8.121833,10.546821,-0.48048,0.09792,3.27698
0.001,1,0,0.000000,5.345734,6.383327,-4.417559,6.592097,5.695422,7.191578,4.996400,6.460237,8.117415,10.539270,-0.50588,0.09812,3.27689
0.002,1,0,0.000000,5.344853,6.371890,-4.611413,6.588246,5.702427,7.189202,4.988046,6.459327,8.117021,10.533482,-0.53044,0.09798,3.27674
0.003,1,0,0.000000,5.344220,6.360639,-4.805267,6.584396,5.709432,7.186825,4.979692,6.458416,8.116626,10.527692,-0.56683,0.09813,3.27710
0.004,1,0,0.000000,5.343716,6.349485,-4.999121,6.580546,5.716437,7.184449,4.971338,6.457506,8.116231,10.521902,-0.60425,0.09853,3.27787
0.005,1,0,0.000000,5.344697,6.338346,-5.166327,6.573747,5.723445,7.182026,4.965698,6.456600,8.114258,10.515766,-0.62556,0.09851,3.27794
0.006,1,0,0.000000,5.346457,6.327215,-5.313754,6.564759,5.730455,7.179570,4.962073,6.455697,8.111112,10.509374,-0.65144,0.09846,3.27748
0.007,1,0,0.000000,5.348139,6.316247,-5.461181,6.555772,5.737465,7.177113,4.958448,6.454793,8.107965,10.502981,-0.67180,0.09882,3.27720
0.008,1,0,0.000000,5.349781,6.305365,-5.608608,6.546784,5.744475,7.174656,4.954823,6.453889,8.104819,10.496589,-0.69490,0.09902,3.27704
0.009,1,0,0.000000,5.349623,6.295276,-5.708736,6.540590,5.745449,7.172271,4.953400,6.453450,8.104111,10.491847,-0.72864,0.09884,3.27711
0.010,1,0,0.000000,5.348522,6.285603,-5.773763,6.536469,5.741941,7.169940,4.953610,6.453354,8.105209,10.488332,-0.76334,0.09889,3.27734
0.011,1,0,0.000000,5.346755,6.277005,-5.838789,6.532347,5.738434,7.167609,4.953821,6.453259,8.106309,10.484817,-0.78341,0.09916,3.27731
0.012,1,0,0.000000,5.344637,6.268971,-5.903815,6.528225,5.734927,7.165277,4.954031,6.453164,8.107408,10.481301,-0.80639,0.09916,3.27708
0.013,1,0,0.000000,5.343283,6.261896,-5.901483,6.520261,5.735378,7.163033,4.950984,6.452560,8.105783,10.477446,-0.82720,0.09906,3.27706
0.014,1,0,0.000000,5.342330,6.255324,-5.849160,6.509445,5.738766,7.160851,4.945519,6.451579,8.102136,10.473337,-0.84831,0.09913,3.27722
0.015,1,0,0.000000,5.341276,6.249930,-5.796837,6.498629,5.742155,7.158670,4.940054,6.450597,8.098490,10.469229,-0.88151,0.09936,3.27702
0.016,1,0,0.000000,5.340169,6.245152,-5.744514,6.487812,5.745543,7.156489,4.934589,6.449616,8.094843,10.465119,-0.91184,0.09936,3.27657
0.017,1,0,0.000000,5.337848,6.241774,-5.645786,6.481084,5.745613,7.154431,4.929740,6.449007,8.092292,10.461750,-0.93351,0.09928,3.27650
0.018,1,0,0.000000,5.334889,6.239130,-5.512617,6.477389,5.743219,7.152464,4.925348,6.448672,8.090553,10.458930,-0.95146,0.09952,3.27673
0.019,1,0,0.000000,5.331401,6.237406,-5.379447,6.473695,5.740825,7.150497,4.920956,6.448338,8.088815,10.456109,-0.97114,0.09976,3.27682
0.020,1,0,0.000000,5.327637,6.236166,-5.246278,6.470000,5.738431,7.148530,4.916564,6.448004,8.087076,10.453289,-0.98979,0.09967,3.27682
0.021,1,0,0.000000,5.324334,6.235271,-5.108936,6.464346,5.734317,7.146737,4.914761,6.448817,8.084630,10.451305,-1.02075,0.09966,3.27700
0.022,1,0,0.000000,5.321273,6.234556,-4.968498,6.457238,5.728926,7.145072,4.914879,6.450481,8.081657,10.449944,-1.04595,0.09998,3.27730
0.023,1,0,0.000000,5.318727,6.234104,-4.828060,6.450130,5.723536,7.143408,4.914998,6.452146,8.078685,10.448582,-1.06618,0.10000,3.27735
0.024,1,0,0.000000,5.316453,6.233789,-4.687621,6.443022,5.718145,7.141744,4.915116,6.453810,8.075712,10.447220,-1.08441,0.09990,3.27720
0.025,1,0,0.000000,5.314234,6.233475,-4.573209,6.440119,5.711018,7.139901,4.916029,6.456752,8.073366,10.444989,-1.09808,0.10012,3.27713
0.026,1,0,0.000000,5.312044,6.233160,-4.478112,6.440336,5.702603,7.137926,4.917533,6.460641,8.071486,10.442113,-1.11664,0.10025,3.27713
0.027,1,0,0.000000,5.308322,6.232201,-4.383015,6.440553,5.694188,7.135950,4.919036,6.464530,8.069605,10.439237,-1.13456,0.09996,3.27713
0.028,1,0,0.000000,5.303796,6.230903,-4.287918,6.440771,5.685772,7.133975,4.920540,6.468420,8.067724,10.436360,-1.16425,0.09981,3.27713
0.029,1,0,2.231864,5.296620,6.228744,-4.247575,6.438582,5.672858,7.132068,4.920499,6.472947,8.065694,10.434505,-1.18522,0.10000,3.27717
0.030,1,0,5.634095,5.288054,6.226132,-4.247869,6.434608,5.656604,7.130211,4.919312,6.477946,8.063551,10.433409,-1.19822,0.09991,3.27725
0.031,1,1,6.805542,5.279294,6.222884,-4.248161,6.430634,5.640350,7.128355,4.918124,6.482946,8.061409,10.432312,-1.21205,0.09960,3.27685
0.032,1,1,6.807189,5.270435,6.219302,-4.248455,6.426661,5.624097,7.126498,4.916936,6.487946,8.059267,10.431215,-1.22786,0.09958,3.27609
0.033,1,1,6.808882,5.264024,6.214971,-4.287853,6.422369,5.611407,7.124854,4.917580,6.493202,8.056005,10.429018,-1.24231,0.09973,3.27610
0.034,1,1,6.810598,5.258897,6.210248,-4.356274,6.417841,5.601363,7.123366,4.919583,6.498650,8.051913,10.426003,-1.26415,0.09962,3.27671
