"Time","61 right DS","60 left DS","37a CoMy (cm)","37 CoMy (cm)","v5 L COP","v4 R COP","v3 xCoM","35 FRy (cm)","30 HRy (cm)","3 Platform"
0.000,0,0,0.807925,4.892019,0.000000,0.000000,4.932726,4.515316,3.079615,1.48471
0.001,0,0,0.840994,4.892864,0.000000,0.000000,4.935342,4.516390,3.077326,1.48224
0.002,0,0,0.881498,4.893773,0.000000,0.000000,4.938044,4.519276,3.075182,1.48391
0.003,0,0,0.922002,4.894682,0.000000,0.000000,4.940767,4.522162,3.073039,1.48310
0.004,0,0,0.962506,4.895591,0.000000,0.000000,4.943590,4.525048,3.070895,1.48465
0.005,0,0,1.003341,4.896535,0.000000,0.000000,4.946435,4.527783,3.069012,1.48477
0.006,0,0,1.047374,4.897814,0.000000,0.000000,4.949383,4.529062,3.069638,1.48458
0.007,0,0,1.091407,4.899093,0.000000,0.000000,4.952355,4.530342,3.070263,1.48455
0.008,0,0,1.135440,4.900371,0.000000,0.000000,4.955434,4.531621,3.070889,1.48365
0.009,0,0,1.179127,4.901652,0.000000,0.000000,4.958539,4.532436,3.071506,1.48311
0.010,0,0,1.219482,4.902957,0.000000,0.000000,4.961767,4.528774,3.072047,1.48494
0.011,0,0,1.259837,4.904262,0.000000,0.000000,4.965024,4.525111,3.072587,1.48457
0.012,0,0,1.300192,4.905566,0.000000,0.000000,4.968418,4.521449,3.073128,1.48444
0.013,0,0,1.340483,4.906896,0.000000,0.000000,4.971842,4.517689,3.073165,1.48490
0.014,0,0,1.380157,4.908461,0.000000,0.000000,4.975409,4.512992,3.068350,1.48371
0.015,0,0,1.419831,4.910027,0.000000,0.000000,4.979005,4.508296,3.063534,1.48527
0.016,0,0,1.459506,4.911592,0.000000,0.000000,4.982746,4.503600,3.058719,1.48472
0.017,0,0,1.499406,4.913171,0.000000,0.000000,4.986515,4.499475,3.054622,1.48321
0.018,0,0,1.541482,4.914885,0.000000,0.000000,4.990422,4.500865,3.057446,1.48273
0.019,0,0,1.583558,4.916599,0.000000,0.000000,4.994356,4.502254,3.060269,1.48396
0.020,0,0,1.625634,4.918313,0.000000,0.000000,4.998415,4.503643,3.063092,1.48527
0.021,0,0,1.668488,4.920047,0.000000,0.000000,5.002501,4.505207,3.065980,1.48488
0.022,0,0,1.718847,4.921973,0.000000,0.000000,5.006709,4.508449,3.069489,1.48504
0.023,0,0,1.769205,4.923898,0.000000,0.000000,5.010944,4.511692,3.072997,1.48433
0.024,0,0,1.819564,4.925824,0.000000,0.000000,5.015309,4.514934,3.076505,1.48386
0.025,0,0,1.870445,4.927771,0.000000,0.000000,5.019700,4.518038,3.080251,1.48544
0.026,0,0,1.926366,4.929924,0.000000,0.000000,5.024215,4.519805,3.086287,1.48441
0.027,0,0,1.982288,4.932077,0.000000,0.000000,5.028754,4.521574,3.092323,1.48461
0.028,0,0,2.038210,4.934230,0.000000,0.000000,5.033408,4.523341,3.098359,1.48437
0.029,0,0,2.094509,4.936406,0.000000,0.000000,5.038085,4.525208,3.104501,1.48486
0.030,0,0,2.154446,4.938794,0.000000,0.000000,5.042875,4.528028,3.111667,1.48474
0.031,0,0,2.214384,4.941183,0.000000,0.000000,5.047687,4.530849,3.118833,1.48376
0.032,0,0,2.274321,4.943571,0.000000,0.000000,5.052599,4.533669,3.125999,1.48423
0.033,0,0,2.334195,4.945970,0.000000,0.000000,5.057525,4.536027,3.132970,1.48381
0.034,0,0,2.393454,4.948463,0.000000,0.000000,5.062513,4.533934,3.138057,1.47971
0.035,0,0,2.452713,4.950957,0.000000,0.000000,5.067505,4.531840,3.143145,1.48453
0.036,0,0,2.511973,4.953451,0.000000,0.000000,5.072517,4.529746,3.148232,1.48560
0.037,0,0,2.571221,4.955932,0.000000,0.000000,5.077526,4.527605,3.153541,1.48746
0.038,0,0,2.630353,4.958290,0.000000,0.000000,5.082519,4.525006,3.160982,1.48593
0.039,0,0,2.689486,4.960648,0.000000,0.000000,5.087500,4.522408,3.168422,1.48311
0.040,0,0,2.748619,4.963006,0.000000,0.000000,5.092422,4.519809,3.175863,1.48392
0.041,0,0,2.807370,4.965388,0.000000,0.000000,5.097321,4.517579,3.183590,1.48298
0.042,0,0,2.862439,4.968009,0.000000,0.000000,5.102106,4.518910,3.194084,1.48304
0.043,0,0,2.917509,4.970630,0.000000,0.000000,5.106856,4.520242,3.204578,1.48350
0.044,0,0,2.972579,4.973250,0.000000,0.000000,5.111447,4.521573,3.215072,1.48252
0.045,0,0,3.026498,4.975868,0.000000,0.000000,5.115997,4.523083,3.224804,1.48430
0.046,0,0,3.069329,4.978448,0.000000,0.000000,5.120357,4.526315,3.227196,1.48334
0.047,0,0,3.112160,4.981029,0.000000,0.000000,5.124669,4.529548,3.229587,1.48323
0.048,0,0,3.154991,4.983609,0.000000,0.000000,5.128757,4.532780,3.231978,1.48557
0.049,0,0,3.196645,4.986185,0.000000,0.000000,5.132789,4.535768,3.235353,1.48384
0.050,0,0,3.226959,4.988716,0.000000,0.000000,5.136559,4.536391,3.248204,1.48708
0.051,0,0,3.257273,4.991248,0.000000,0.000000,5.140263,4.537014,3.261055,1.48321
0.052,0,0,3.287587,4.993780,0.000000,0.000000,5.143663,4.537638,3.273906,1.48428
0.053,0,0,3.316308,4.996282,0.000000,0.000000,5.146987,4.538764,3.286140,1.48442
0.054,0,0,3.329679,4.998499,0.000000,0.000000,5.149954,4.544738,3.292429,1.48283
0.055,0,0,3.343051,5.000716,0.000000,0.000000,5.152832,4.550712,3.298719,1.48380
0.056,0,0,3.356422,5.002934,0.000000,0.000000,5.155291,4.556685,3.305008,1.48476
0.057,0,0,3.368174,5.005151,0.000000,0.000000,5.157651,4.562149,3.311219,1.48380
0.058,0,0,3.364320,5.007369,0.000000,0.000000,5.159549,4.562693,3.316662,1.48514
0.059,0,0,3.360466,5.009586,0.000000,0.000000,5.161346,4.563237,3.322104,1.48527
0.060,0,0,3.356611,5.011804,0.000000,0.000000,5.162667,4.563781,3.327548,1.48344
0.061,0,0,3.350280,5.014014,0.000000,0.000000,5.163888,4.564302,3.332843,1.48514
0.062,0,0,3.320081,5.016156,0.000000,0.000000,5.164632,4.564595,3.336712,1.48696
0.063,0,0,3.289881,5.018298,0.000000,0.000000,5.165276,4.564888,3.340581,1.48311
0.064,0,0,3.259681,5.020440,0.000000,0.000000,5.165445,4.565181,3.344451,1.48410
0.065,0,0,3.226135,5.022587,0.000000,0.000000,5.165517,4.565450,3.348733,1.48539
0.066,0,0,3.160339,5.024787,0.000000,0.000000,5.165133,4.565488,3.356997,1.48502
0.067,0,0,3.094543,5.026987,0.000000,0.000000,5.164661,4.565525,3.365261,1.48377
0.068,0,0,3.028747,5.029187,0.000000,0.000000,5.163772,4.565562,3.373525,1.48533
0.069,0,0,2.960472,5.031362,0.512918,0.000000,5.162801,4.565206,3.381574,1.48340
0.070,0,0,2.868306,5.033300,3.427226,0.000000,5.161449,4.561055,3.387553,1.48467
0.071,0,1,2.776140,5.035238,5.828822,0.000000,5.160017,4.556905,3.393532,1.48588
0.072,0,1,2.683974,5.037177,5.829998,0.000000,5.158212,4.552754,3.399511,1.48288
0.073,0,1,2.590584,5.039104,5.831422,0.000000,5.156326,4.548159,3.405805,1.48264
0.074,0,1,2.485399,5.040927,5.834012,0.000000,5.154066,4.539281,3.415140,1.48451
0.075,0,1,2.380214,5.042750,5.836136,0.000000,5.151728,4.530402,3.424475,1.48586
0.076,0,1,2.275029,5.044574,5.836079,0.000000,5.149032,4.521524,3.433810,1.48424
0.077,0,1,2.170014,5.046363,5.835085,0.000000,5.146264,4.513462,3.443429,1.48398
0.078,0,1,2.066632,5.047829,5.829709,0.000000,5.143164,4.513265,3.455785,1.48405
0.079,0,1,1.963250,5.049294,5.824594,0.000000,5.139999,4.513068,3.468142,1.48331
0.080,0,1,1.859869,5.050760,5.820708,0.000000,5.136526,4.512870,3.480498,1.48404
0.081,0,1,1.756815,5.052204,5.818171,0.000000,5.132990,4.512253,3.493602,1.48398
0.082,0,1,1.656923,5.053431,5.821946,0.000000,5.129165,4.507581,3.513908,1.48367
0.083,0,1,1.557030,5.054657,5.825516,0.000000,5.125282,4.502908,3.534214,1.48210
0.084,0,1,1.457138,5.055884,5.828123,0.000000,5.121130,4.498236,3.554520,1.48260
0.085,0,1,1.356232,5.057082,5.828906,0.000000,5.116922,4.493754,3.574670,1.48458
0.086,0,1,1.245559,5.057993,5.821149,0.000000,5.112461,4.491104,3.593321,1.48394
0.087,0,1,1.134885,5.058904,5.813037,0.000000,5.107947,4.488454,3.611971,1.48478
0.088,0,1,1.024212,5.059815,5.803262,0.000000,5.103189,4.485804,3.630622,1.48640
0.089,0,1,0.912833,5.060687,5.794923,0.000000,5.098382,4.483778,3.649379,1.48441
0.090,0,1,0.794654,5.061169,5.793305,0.000000,5.093344,4.487766,3.669165,1.48543
0.091,0,1,0.676476,5.061651,5.792420,0.000000,5.088259,4.491754,3.688951,1.48510
0.092,0,1,0.558297,5.062133,5.794974,0.000000,5.082952,4.495742,3.708737,1.48381
0.093,0,1,0.438737,5.062584,5.797152,0.000000,5.077599,4.499343,3.726990,1.48456
0.094,0,1,0.305861,5.062739,5.797569,0.000000,5.072023,4.499216,3.730464,1.48449
0.095,0,1,0.172984,5.062894,5.797836,0.000000,5.066403,4.499088,3.733938,1.48488
0.096,0,1,0.040108,5.063049,5.797401,0.000000,5.060572,4.498960,3.737413,1.48414
0.097,0,1,-0.093121,5.063159,5.797259,0.000000,5.054704,4.497171,3.741403,1.48237
0.098,0,1,-0.229752,5.062826,5.798490,0.000000,5.048666,4.479367,3.750361,1.48444
0.099,0,1,-0.366383,5.062492,5.799733,0.000000,5.042603,4.461562,3.759319,1.48401
0.100,0,1,-0.503015,5.062160,5.801032,0.000000,5.036420,4.443757,3.768276,1.48463
0.101,0,1,-0.639208,5.061796,5.802022,0.000000,5.030218,4.425704,3.776741,1.48380
0.102,0,1,-0.771177,5.061139,5.801570,0.000000,5.023931,4.405260,3.780452,1.48665
0.103,0,1,-0.903147,5.060481,5.801238,0.000000,5.017631,4.384815,3.784163,1.48387
0.104,0,1,-1.035117,5.059824,5.801471,0.000000,5.011274,4.364371,3.787874,1.48365
0.105,0,1,-1.166027,5.059125,5.802248,0.000000,5.004914,4.349362,3.791493,1.48488
0.106,0,1,-1.286732,5.058028,5.805573,0.000000,4.998535,4.386750,3.794232,1.48500
0.107,0,1,-1.407436,5.056931,5.808883,0.000000,4.992162,4.424138,3.796971,1.48430
0.108,0,1,-1.528140,5.055833,5.812119,0.000000,4.985817,4.461525,3.799711,1.48507
0.109,0,1,-1.646947,5.054711,5.814705,0.000000,4.979486,4.494250,3.802051,1.48439
0.110,0,1,-1.747465,5.053347,5.814250,0.000000,4.973223,4.482037,3.800550,1.48283
0.111,0,1,-1.847984,5.051982,5.813435,0.000000,4.966979,4.469824,3.799048,1.48418
0.112,0,1,-1.948502,5.050618,5.810933,0.000000,4.960824,4.457611,3.797546,1.48523
0.113,0,1,-2.047866,5.049226,5.808563,0.000000,4.954692,4.445730,3.796196,1.48381
0.114,0,1,-2.136109,5.047580,5.806809,0.000000,4.948659,4.437048,3.796305,1.48610
0.115,0,1,-2.224351,5.045934,5.805413,0.000000,4.942655,4.428368,3.796414,1.48314
0.116,0,1,-2.312593,5.044288,5.805696,0.000000,4.936779,4.419686,3.796523,1.48510
0.117,0,1,-2.400033,5.042632,5.806372,0.000000,4.930945,4.411200,3.796168,1.48386
0.118,0,1,-2.479747,5.040889,5.808891,0.000000,4.925301,4.404588,3.791340,1.48297
0.119,0,1,-2.559461,5.039145,5.811312,0.000000,4.919711,4.397976,3.786511,1.48287
0.120,0,1,-2.639175,5.037402,5.813271,0.000000,4.914369,4.391364,3.781683,1.48748
0.121,0,1,-2.718409,5.035657,5.814723,0.000000,4.909087,4.385407,3.777249,1.48398
0.122,0,1,-2.793016,5.033895,5.813803,0.000000,4.904087,4.385767,3.776619,1.48427
0.123,0,1,-2.867624,5.032134,5.813026,0.000000,4.899151,4.386127,3.775989,1.48618
0.124,0,1,-2.942231,5.030372,5.812919,0.000000,4.894516,4.386487,3.775359,1.48347
0.125,0,1,-3.015542,5.028570,5.813609,0.000000,4.889951,4.385963,3.773999,1.48274
0.126,0,1,-3.076349,5.026384,5.818035,0.000000,4.885716,4.376920,3.765600,1.48453
