"Time","57 lHL swoff","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","55 rFL swoff","56 lHL swon","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","36 CoMx (cm)","35 FRy (cm)","67 RDS cle","65 R mark","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v5 L COP","68 LDS cle","66 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.411758,57.165661,85.019669,57.701370,-4.658473,4.579573,4.359242,0.000000,8.463994,4.107957,0,0,10.902382,5.568592,7.541657,0.000000,0,0,9.016909,0,3.381366,5.601858,7.677989,8.386420,10.682039,8.269378,7.418808,8.407570,6.761522,8.766899,6.197474,9.324346,7.529919,10.555481,6.834410,10.497695,7.825671,0,0.00143,0.00144,0.00083,0.00097,0.00091,0.00088,0.00426,0.00056,-1.26877,0.09886,3.27769,,
0.001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.253006,58.525372,85.890282,58.188885,-4.813212,4.574843,4.346547,0.000000,8.477792,4.104456,0,0,10.971895,5.568937,7.550856,0.000000,0,0,9.004924,0,3.378659,5.603097,7.702916,8.374293,10.739709,8.237340,7.454697,8.388583,6.800096,8.751423,6.231371,9.323246,7.547997,10.559207,6.853293,10.501718,7.845599,0,0.00144,0.00147,0.00084,0.00105,0.00083,0.00083,0.00334,0.00056,-1.28326,0.09907,3.27762,,
0.002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.094254,59.885078,86.760895,58.676395,-4.967950,4.570113,4.334359,0.000000,8.491590,4.100955,0,0,11.041408,5.569283,7.560054,0.000000,0,0,8.992938,0,3.375953,5.604335,7.727842,8.362166,10.797379,8.205301,7.490586,8.369597,6.838669,8.735946,6.265268,9.322146,7.566076,10.562933,6.872176,10.505740,7.865526,0,0.00143,0.00147,0.00080,0.00105,0.00080,0.00082,0.00232,0.00055,-1.29578,0.09943,3.27717,,
0.003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.935501,61.244785,87.631516,59.163906,-5.122689,4.565383,4.322389,0.000000,8.505387,4.097455,0,0,11.110921,5.569628,7.569253,0.000000,0,0,8.980953,0,3.373246,5.605574,7.752768,8.350039,10.855050,8.173263,7.526474,8.350612,6.877243,8.720469,6.299166,9.321047,7.584154,10.566659,6.891058,10.509763,7.885454,0,0.00147,0.00143,0.00083,0.00111,0.00076,0.00081,0.00214,0.00055,-1.30783,0.09936,3.27648,,
0.004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.327988,62.732021,88.344872,59.853031,-5.257799,4.559903,4.310574,0.000000,8.519749,4.093385,0,0,11.151933,5.569018,7.572767,0.000000,0,0,8.969812,0,3.370552,5.604073,7.782188,8.342276,10.905287,8.125453,7.543485,8.318662,6.903696,8.700405,6.324465,9.314779,7.596821,10.562956,6.906222,10.513497,7.902024,0,0.00148,0.00142,0.00087,0.00116,0.00077,0.00082,0.00208,0.00054,-1.33377,0.09963,3.27654,,
0.005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.824951,64.298080,88.961037,60.666775,-5.380776,4.553959,4.298827,0.000000,8.534459,4.088963,0,0,11.175328,5.567818,7.572767,0.000000,0,0,8.959193,0,3.367864,5.600878,7.814386,8.337209,10.950929,8.067895,7.548826,8.278699,6.922657,8.677505,6.344450,9.305317,7.606142,10.554662,6.919086,10.517055,7.916520,0,0.00173,0.00141,0.00090,0.00119,0.00071,0.00082,0.00211,0.00054,-1.34201,0.10018,3.27707,,
0.006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.321915,65.864143,89.577194,61.480518,-5.503753,4.548015,4.287036,0.000000,8.549169,4.084541,0,0,11.198723,5.566617,7.572767,0.000000,0,0,8.948575,0,3.365177,5.597683,7.846583,8.332143,10.996571,8.010337,7.554168,8.238736,6.941619,8.654605,6.364434,9.295855,7.615463,10.546368,6.931951,10.520611,7.931015,0,0.00193,0.00141,0.00092,0.00121,0.00071,0.00083,0.00196,0.00054,-1.35361,0.10012,3.27710,,
0.007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.818878,67.430199,90.193352,62.294262,-5.626729,4.542071,4.275227,0.000000,8.563879,4.080119,0,0,11.222117,5.565417,7.572767,0.000000,0,0,8.937956,0,3.362490,5.594488,7.878781,8.327076,11.042212,7.952778,7.559509,8.198773,6.960581,8.631704,6.384418,9.286392,7.624785,10.538074,6.944816,10.524168,7.945510,0,0.00215,0.00142,0.00096,0.00119,0.00070,0.00081,0.00180,0.00053,-1.36337,0.10019,3.27679,,
0.008,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.484970,68.677422,90.552643,63.166519,-5.742101,4.535655,4.263347,0.000000,8.577912,4.075209,0,0,11.255853,5.564491,7.572767,0.000000,0,0,8.927690,0,3.360019,5.594297,7.914711,8.317587,11.078318,7.928783,7.567835,8.166125,6.968578,8.617325,6.395588,9.275280,7.631162,10.531320,6.958904,10.525337,7.961186,0,0.00225,0.00144,0.00096,0.00128,0.00072,0.00083,0.00179,0.00056,-1.37146,0.10071,3.27714,,
0.009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.637466,69.727570,90.753159,64.074951,-5.852772,4.528947,4.251437,0.000000,8.591527,4.069996,0,0,11.295979,5.563734,7.572767,0.000000,0,0,8.917642,0,3.357682,5.595962,7.952949,8.305365,11.108528,7.925536,7.578007,8.137997,6.969799,8.608213,6.401310,9.263147,7.635719,10.525517,6.973750,10.525030,7.977592,0,0.00225,0.00141,0.00095,0.00131,0.00073,0.00082,0.00173,0.00056,-1.39542,0.10081,3.27790,,
0.010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150.789978,70.777710,90.953674,64.983383,-5.963443,4.522240,4.239442,0.000000,8.605143,4.064783,0,0,11.336105,5.562978,7.572767,0.000000,0,0,8.907593,0,3.355345,5.597628,7.991187,8.293141,11.138740,7.922287,7.588178,8.109869,6.971019,8.599101,6.407033,9.251015,7.640276,10.519714,6.988595,10.524723,7.993997,0,0.00229,0.00133,0.00096,0.00130,0.00072,0.00082,0.00170,0.00057,-1.40182,0.10080,3.27797,,
0.011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.942474,71.827858,91.154190,65.891808,-6.074114,4.515532,4.227412,0.000000,8.618757,4.059570,0,0,11.376231,5.562222,7.572767,0.000000,0,0,8.897545,0,3.353009,5.599293,8.029425,8.280919,11.168950,7.919039,7.598350,8.081741,6.972239,8.589990,6.412755,9.238883,7.644833,10.513911,7.003440,10.524416,8.010403,0,0.00239,0.00126,0.00096,0.00130,0.00070,0.00082,0.00172,0.00059,-1.41083,0.10117,3.27758,,
0.012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.289993,72.110168,91.094139,66.707748,-6.184693,4.508698,4.215326,0.000000,8.633838,4.053969,0,0,11.413938,5.561784,7.572767,0.000000,0,0,8.887701,0,3.350775,5.599611,8.070831,8.273602,11.225282,7.914697,7.588492,8.063673,6.960283,8.587423,6.411527,9.224751,7.643088,10.505028,7.014907,10.521963,8.022918,0,0.00245,0.00110,0.00096,0.00138,0.00069,0.00083,0.00174,0.00060,-1.41510,0.10133,3.27748,,
