"Time","v5 L COP","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","67 RDS cle","65 R mark","34 FRx (cm)","29 HRx (cm)","68 LDS cle","66 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,-4.658473,4.579573,4.359242,0.000000,0,0,10.902382,7.541657,0,0,9.016909,7.677989,-1.26877,0.09886
0.001,0.000000,-4.813212,4.574843,4.346547,0.000000,0,0,10.971895,7.550856,0,0,9.004924,7.702916,-1.28326,0.09907
0.002,0.000000,-4.967950,4.570113,4.334359,0.000000,0,0,11.041408,7.560054,0,0,8.992938,7.727842,-1.29578,0.09943
0.003,0.000000,-5.122689,4.565383,4.322389,0.000000,0,0,11.110921,7.569253,0,0,8.980953,7.752768,-1.30783,0.09936
0.004,0.000000,-5.257799,4.559903,4.310574,0.000000,0,0,11.151933,7.572767,0,0,8.969812,7.782188,-1.33377,0.09963
0.005,0.000000,-5.380776,4.553959,4.298827,0.000000,0,0,11.175328,7.572767,0,0,8.959193,7.814386,-1.34201,0.10018
0.006,0.000000,-5.503753,4.548015,4.287036,0.000000,0,0,11.198723,7.572767,0,0,8.948575,7.846583,-1.35361,0.10012
0.007,0.000000,-5.626729,4.542071,4.275227,0.000000,0,0,11.222117,7.572767,0,0,8.937956,7.878781,-1.36337,0.10019
0.008,0.000000,-5.742101,4.535655,4.263347,0.000000,0,0,11.255853,7.572767,0,0,8.927690,7.914711,-1.37146,0.10071
0.009,0.000000,-5.852772,4.528947,4.251437,0.000000,0,0,11.295979,7.572767,0,0,8.917642,7.952949,-1.39542,0.10081
0.010,0.000000,-5.963443,4.522240,4.239442,0.000000,0,0,11.336105,7.572767,0,0,8.907593,7.991187,-1.40182,0.10080
0.011,0.000000,-6.074114,4.515532,4.227412,0.000000,0,0,11.376231,7.572767,0,0,8.897545,8.029425,-1.41083,0.10117
0.012,0.000000,-6.184693,4.508698,4.215326,0.000000,0,0,11.413938,7.572767,0,0,8.887701,8.070831,-1.41510,0.10133
0.013,0.000000,-6.295215,4.501785,4.203217,0.000000,0,0,11.450149,7.572767,0,0,8.877983,8.114197,-1.42456,0.10124
0.014,0.000000,-6.405736,4.494873,4.191135,0.000000,0,0,11.486360,7.572767,0,0,8.868265,8.157562,-1.43066,0.10154
0.015,0.000000,-6.516259,4.487960,4.179065,0.000000,0,0,11.522571,7.572767,0,0,8.858547,8.200928,-1.43768,0.10179
0.016,0.000000,-6.628088,4.481140,4.166974,0.000000,0,0,11.556575,7.565144,0,0,8.848966,8.245961,-1.44882,0.10168
0.017,0.000000,-6.740726,4.474376,4.154874,0.000000,0,0,11.589215,7.552809,0,0,8.839467,8.292026,-1.45172,0.10192
0.018,0.000000,-6.853364,4.467612,4.142518,0.000000,0,0,11.621856,7.540474,0,0,8.829968,8.338090,-1.45798,0.10219
0.019,0.000000,-6.966002,4.460848,4.130052,0.000000,0,1,11.654497,7.528139,0,0,8.820471,8.384155,-1.46545,0.10203
0.020,0.000000,-7.085961,4.453646,4.117209,1.282840,1,0,11.672355,7.515763,0,0,8.811294,8.410617,-1.46881,0.10216
0.021,0.000000,-7.210445,4.446173,4.104206,3.115469,1,0,11.681074,7.503361,0,0,8.802315,8.424962,-1.47263,0.10237
0.022,0.000000,-7.334929,4.438700,4.091002,3.662530,1,0,11.689795,7.490960,0,0,8.793337,8.439307,-1.47415,0.10217
0.023,0.000000,-7.459414,4.431227,4.077711,3.658634,1,0,11.698514,7.478559,0,0,8.784358,8.453652,-1.47202,0.10216
0.024,0.000000,-7.592269,4.424136,4.064329,3.654637,1,0,11.701845,7.466603,0,0,8.776300,8.454062,-1.47659,0.10233
0.025,0.000000,-7.730298,4.417282,4.050906,3.650597,1,0,11.701845,7.454924,0,0,8.768812,8.445857,-1.47903,0.10225
0.026,0.000000,-7.868328,4.410429,4.037133,3.646528,1,0,11.701845,7.443244,0,0,8.761324,8.437653,-1.48270,0.10211
0.027,0.000000,-8.006357,4.403574,4.023209,3.642447,1,0,11.701845,7.431565,0,0,8.753836,8.429447,-1.48331,0.10219
0.028,0.000000,-8.157786,4.396121,4.008681,3.638432,1,0,11.701845,7.420290,0,0,8.748047,8.422882,-1.47812,0.10226
0.029,0.000000,-8.317500,4.388296,3.993895,3.634446,1,0,11.701845,7.409267,0,0,8.743307,8.417330,-1.47858,0.10223
0.030,0.000000,-8.477213,4.380472,3.978669,3.630531,1,0,11.701845,7.398244,0,0,8.738567,8.411778,-1.47507,0.10234
0.031,0.000000,-8.636927,4.372647,3.963255,3.626647,1,0,11.701845,7.387221,0,0,8.733828,8.406226,-1.47415,0.10249
0.032,0.000000,-8.795047,4.364757,3.947778,3.622807,1,0,11.701845,7.373560,0,0,8.734091,8.401375,-1.47583,0.10237
0.033,0.000000,-8.952182,4.356825,3.932276,3.618985,1,0,11.701845,7.358268,0,0,8.737448,8.396957,-1.46606,0.10227
0.034,0.000000,-9.109317,4.348894,3.916888,3.615156,1,0,11.701845,7.342977,0,0,8.740804,8.392540,-1.45996,0.10233
0.035,0.000000,-9.266453,4.340963,3.901550,3.611324,1,0,11.701845,7.327685,0,0,8.744161,8.388123,-1.45340,0.10219
0.036,0.000000,-9.409891,4.332566,3.886338,3.607432,1,0,11.701845,7.313027,0,0,8.753004,8.384641,-1.44913,0.10185
