"Time","v2 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","34 FRx (cm)","29 HRx (cm)","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,5.795676,2.531867,5.660370,0.000000,1,0,17.459833,14.897021,1,0,17.953156,13.266149,0.00015,0.10007
0.001,0.000000,5.794502,2.471334,5.663257,0.000000,1,0,17.448246,14.906965,1,0,17.970713,13.255050,0.00021,0.10019
0.002,0.000000,5.792020,2.372874,5.665690,0.000000,1,0,17.436569,14.913530,1,0,17.987928,13.243919,-0.00009,0.10004
0.003,0.000000,5.789329,2.263718,5.667995,0.000000,1,0,17.424866,14.919142,1,0,18.005047,13.232779,0.00006,0.09992
0.004,0.000000,5.785379,2.154562,5.670300,0.000000,1,0,17.413164,14.924754,1,0,18.022167,13.221639,0.00019,0.10008
0.005,0.000000,5.781228,2.045406,5.672605,0.000000,1,0,17.401463,14.930366,1,0,18.039286,13.210499,0.00009,0.10018
0.006,0.000000,5.775839,1.901475,5.674599,0.000000,1,0,17.389523,14.932703,1,0,18.055622,13.198940,0.00006,0.09990
0.007,0.000000,5.770253,1.747735,5.676507,0.000000,1,0,17.377514,14.934117,1,0,18.071737,13.187264,0.00025,0.09976
0.008,0.000000,5.763623,1.593994,5.678414,0.000000,1,0,17.365507,14.935531,1,0,18.087852,13.175588,-0.00009,0.09997
0.009,0.000000,5.756825,1.440254,5.680322,0.000000,1,0,17.353498,14.936945,1,0,18.103966,13.163912,0.00025,0.09992
0.010,0.000000,5.749253,1.272096,5.681660,0.000000,1,0,17.341290,14.934582,1,0,18.119841,13.152212,0.00031,0.09950
0.011,0.000000,5.741556,1.099870,5.682838,0.000000,1,0,17.329021,14.931153,1,0,18.135649,13.140506,0.00006,0.09954
0.012,0.000000,5.733455,0.927645,5.684017,0.000000,1,0,17.316755,14.927726,1,0,18.151455,13.128800,0.00006,0.09974
0.013,0.000000,5.725288,0.755420,5.685194,0.000000,1,0,17.304489,14.924297,1,0,18.167263,13.117094,0.00009,0.09957
0.014,0.000000,5.717058,0.591761,5.685692,0.000000,1,0,17.292124,14.921090,1,0,18.182049,13.105491,0.00009,0.09933
0.015,0.000000,5.708816,0.430518,5.685997,0.000000,1,0,17.279730,14.917945,1,0,18.196547,13.093916,-0.00009,0.09956
0.016,0.000000,5.700574,0.269275,5.686301,0.000000,1,0,17.267338,14.914800,1,0,18.211044,13.082340,0.00012,0.09966
0.017,0.000000,5.692333,0.108032,5.686606,0.000000,1,0,17.254944,14.911654,1,0,18.225542,13.070765,-0.00007,0.09943
0.018,0.000000,5.684152,-0.036329,5.686294,0.000000,1,0,17.242668,14.896998,1,0,18.239868,13.059373,0.00019,0.09940
0.019,0.000000,5.675980,-0.175928,5.685808,0.000000,1,0,17.230423,14.879096,1,0,18.254148,13.048031,0.00025,0.09957
0.020,0.000000,5.668264,-0.315527,5.685322,0.000000,1,0,17.218180,14.861195,1,0,18.268427,13.036690,0.00004,0.09964
0.021,0.000000,5.660621,-0.455126,5.684836,0.000000,1,0,17.205935,14.843292,1,0,18.282707,13.025348,-0.00006,0.09948
0.022,0.000000,5.653847,-0.560234,5.683960,0.000000,1,0,17.194103,14.819557,1,0,18.295298,13.014372,0.00021,0.09948
0.023,0.000000,5.647212,-0.655614,5.682974,0.000000,1,0,17.182388,14.794178,1,0,18.307411,13.003499,-0.00009,0.09968
0.024,0.000000,5.641522,-0.750993,5.681987,0.000000,1,0,17.170673,14.768799,1,0,18.319525,12.992626,0.00019,0.09970
0.025,0.000000,5.635983,-0.846373,5.681001,0.000000,1,0,17.158957,14.743420,1,0,18.331638,12.981752,0.00006,0.09949
0.026,0.000000,5.631334,-0.914507,5.680100,0.000000,1,0,17.147282,14.725840,1,0,18.342054,12.970874,0.00015,0.09974
0.027,0.000000,5.626827,-0.974956,5.679223,0.000000,1,0,17.135616,14.710459,1,0,18.351994,12.959994,0.00009,0.10006
0.028,0.000000,5.622999,-1.035405,5.678346,0.000000,1,0,17.123951,14.695079,1,0,18.361933,12.949114,-0.00006,0.09992
0.029,0.000000,5.619280,-1.095854,5.677469,0.000000,1,0,17.112286,14.679699,1,0,18.371872,12.938234,0.00000,0.10005
0.030,0.000000,5.616063,-1.127825,5.676147,0.000000,1,0,17.100525,14.670748,1,0,18.380091,12.927195,-0.00007,0.10040
0.031,0.000000,5.612926,-1.151764,5.674700,0.000000,1,0,17.088737,14.663610,1,0,18.387825,12.916111,-0.00006,0.10038
0.032,0.000000,5.610460,-1.175703,5.673253,0.000000,1,0,17.076950,14.656471,1,0,18.395561,12.905026,0.00012,0.10027
0.033,0.000000,5.608100,-1.199641,5.671806,0.000000,1,0,17.065163,14.649333,1,0,18.403296,12.893942,0.00015,0.10060
0.034,0.000000,5.606579,-1.201624,5.670507,0.000000,1,0,17.053513,14.634278,1,0,18.409716,12.882628,0.00000,0.10069
0.035,0.000000,5.605192,-1.197415,5.669250,0.000000,1,0,17.041901,14.616990,1,0,18.415768,12.871249,0.00004,0.10044
0.036,0.000000,5.604368,-1.193205,5.667993,0.000000,1,0,17.030289,14.599703,1,0,18.421818,12.859871,0.00000,0.10061
0.037,0.000000,5.603634,-1.188996,5.666736,0.000000,1,0,17.018677,14.582415,1,0,18.427868,12.848493,0.00000,0.10082
0.038,0.000000,5.603213,-1.166635,5.665395,0.000000,1,0,17.007099,14.578130,1,0,18.432993,12.837649,0.00006,0.10059
0.039,0.000000,5.602842,-1.139155,5.664030,0.000000,1,0,16.995533,14.577513,1,0,18.437857,12.826958,0.00019,0.10067
0.040,0.000000,5.603207,-1.111675,5.662665,0.000000,1,0,16.983965,14.576896,1,0,18.442720,12.816266,0.00021,0.10097
0.041,0.000000,5.603691,-1.084194,5.661301,0.000000,1,0,16.972397,14.576278,1,0,18.447584,12.805573,0.00031,0.10091
0.042,0.000000,5.605346,-1.030863,5.660316,0.000000,1,0,16.961330,14.566470,1,0,18.451206,12.795085,-0.00006,0.10081
0.043,0.000000,5.607189,-0.970240,5.659440,0.000000,1,0,16.950405,14.554070,1,0,18.454479,12.784654,0.00009,0.10105
0.044,0.000000,5.609820,-0.909617,5.658564,0.000000,1,0,16.939478,14.541669,1,0,18.457750,12.774222,0.00015,0.10108
0.045,0.000000,5.612577,-0.848994,5.657687,0.000000,1,0,16.928553,14.529268,1,0,18.461023,12.763790,0.00015,0.10086
0.046,0.000000,5.615667,-0.771076,5.656818,0.000000,1,0,16.918018,14.515574,1,0,18.463364,12.753471,0.00009,0.10091
0.047,0.000000,5.618810,-0.688281,5.655951,0.000000,1,0,16.907597,14.501516,1,0,18.465443,12.743183,0.00009,0.10100
0.048,0.000000,5.622555,-0.605485,5.655084,0.000000,1,0,16.897173,14.487457,1,0,18.467522,12.732896,0.00000,0.10085
0.049,0.000000,5.626396,-0.522689,5.654217,0.000000,1,0,16.886749,14.473399,1,0,18.469601,12.722608,-0.00006,0.10073
0.050,0.000000,5.631214,-0.415198,5.653622,0.000000,1,0,16.876797,14.462082,1,0,18.470976,12.712782,-0.00006,0.10079
0.051,0.000000,5.636189,-0.300743,5.653103,0.000000,1,0,16.866976,14.451537,1,0,18.472151,12.703087,-0.00006,0.10083
0.052,0.000000,5.642077,-0.186287,5.652584,0.000000,1,0,16.857155,14.440992,1,0,18.473326,12.693391,0.00006,0.10060
0.053,0.000000,5.648112,-0.071831,5.652065,0.000000,1,0,16.847334,14.430448,1,0,18.474501,12.683696,0.00004,0.10060
0.054,2.813230,5.654847,0.054116,5.652128,0.000000,1,0,16.837801,14.419414,1,1,18.475256,12.673975,0.00019,0.10079
0.055,6.076837,5.661694,0.183304,5.652355,0.000000,1,0,16.828350,14.408242,1,0,18.475893,12.664248,0.00009,0.10074
0.056,6.527617,5.668904,0.312492,5.652582,0.000000,1,0,16.818897,14.397070,1,0,18.476530,12.654519,0.00012,0.10047
0.057,6.528084,5.676171,0.441680,5.652808,0.000000,1,0,16.809446,14.385898,1,0,18.477167,12.644792,0.00013,0.10056
0.058,6.528772,5.683469,0.565193,5.653457,0.000000,1,0,16.800699,14.373948,1,0,18.476683,12.634796,-0.00009,0.10069
0.059,6.529497,5.690772,0.687104,5.654225,0.000000,1,0,16.792152,14.361778,1,0,18.475883,12.624725,0.00002,0.10046
0.060,6.530408,5.697958,0.809015,5.654993,0.000000,1,0,16.783604,14.349608,1,0,18.475084,12.614655,0.00009,0.10042
0.061,6.531350,5.705126,0.930927,5.655761,0.000000,1,0,16.775057,14.337439,1,0,18.474285,12.604583,0.00002,0.10063
0.062,6.532369,5.712053,1.034183,5.657014,0.000000,1,0,16.767967,14.326925,1,0,18.471983,12.594494,0.00004,0.10061
0.063,6.533400,5.718943,1.132178,5.658406,0.000000,1,0,16.761292,14.316878,1,0,18.469257,12.584399,0.00012,0.10047
0.064,6.534338,5.725348,1.230173,5.659797,0.000000,1,0,16.754614,14.306831,1,0,18.466532,12.574305,0.00012,0.10072
0.065,6.535263,5.731676,1.328168,5.661188,0.000000,1,0,16.747936,14.296785,1,0,18.463804,12.564211,0.00004,0.10092
0.066,6.535985,5.737236,1.393737,5.662882,0.000000,1,0,16.743240,14.285087,1,0,18.459415,12.554204,0.00000,0.10064
0.067,6.536676,5.742675,1.450161,5.664662,0.000000,1,0,16.739105,14.272923,1,0,18.454556,12.544223,0.00006,0.10076
0.068,6.537404,5.747050,1.506584,5.666442,0.000000,1,0,16.734968,14.260757,1,0,18.449696,12.534242,0.00021,0.10101
