"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","34 FRx (cm)","29 HRx (cm)","v2 L COP","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,6.423098,1.503784,6.343768,0.000000,0,0,12.775524,8.845828,0.000000,0,0,14.879331,8.291691,-1.47828,0.09677
0.001,6.427036,1.572434,6.345912,0.000000,0,0,12.765259,8.866453,0.000000,0,0,14.896835,8.278675,-1.48099,0.09664
0.002,6.430918,1.627124,6.347841,0.000000,0,0,12.755029,8.884255,0.000000,0,0,14.914134,8.265804,-1.48150,0.09692
0.003,6.434744,1.663006,6.349483,0.000000,0,0,12.744843,8.898257,0.000000,0,0,14.931154,8.253128,-1.48049,0.09718
0.004,6.438502,1.698888,6.351124,0.000000,0,0,12.734659,8.912258,0.000000,0,0,14.948174,8.240452,-1.47963,0.09703
0.005,6.442193,1.734770,6.352766,0.000000,0,0,12.724475,8.926260,0.000000,0,0,14.965195,8.227776,-1.48134,0.09684
0.006,6.445847,1.777420,6.353920,0.000000,0,0,12.714354,8.944177,0.000000,0,0,14.981797,8.215209,-1.47939,0.09731
0.007,6.449466,1.829189,6.354419,0.000000,0,0,12.704316,8.967368,0.000000,0,0,14.997836,8.202790,-1.47913,0.09751
0.008,6.453068,1.880959,6.354917,0.000000,0,0,12.694280,8.990560,0.000000,0,0,15.013875,8.190372,-1.49487,0.09732
0.009,6.456653,1.932728,6.355416,0.000000,0,0,12.684243,9.013751,0.000000,0,0,15.029914,8.177953,-1.48116,0.09732
0.010,6.460174,1.981981,6.357124,0.000000,0,0,12.674227,9.037744,0.000000,0,0,15.045537,8.166636,-1.48024,0.09760
0.011,6.463633,2.027844,6.360462,0.000000,0,0,12.664236,9.062814,0.000000,0,0,15.060600,8.156805,-1.47645,0.09759
0.012,6.466943,2.073708,6.363799,0.000000,0,0,12.654246,9.087884,0.000000,0,0,15.075663,8.146975,-1.47937,0.09742
0.013,6.470110,2.119571,6.367137,0.000000,0,0,12.644257,9.112955,0.000000,0,0,15.090725,8.137143,-1.47860,0.09727
