"Time","57 rm dwn st","56 rm dwn sw","55 rmp up st","54 rmp up sw","53 Ramp down","52 Ramp up","51 right DS","50 left DS","49 lHL swoff","48 lHL swon","47 rHL swoff","46 rHL swon","45 lFL swoff","44 lFL swon","43 rFL swoff","42 rFL swon","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","36 CoMx (cm)","37 CoMy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","35 FRy (cm)","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,151.806458,49.256882,80.248886,96.891838,0.507273,11.060618,6.993146,14.145585,7.377240,12.626683,0,6.131866,5.577894,7.472779,7.547279,8.716196,8.581339,14.128316,8.365132,7.417142,8.719493,6.990757,9.375875,6.766290,8.764551,8.341253,10.331868,8.660124,10.236376,9.753661,0,0.00322,0.00073,0.00259,0.00070,0.00086,0.00083,0.00117,0.00060,1.47972,0.09714,3.27728
0.001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,153.406784,48.930691,80.231445,97.083771,0.581918,11.059373,6.993470,14.157205,7.381444,12.616425,0,6.132125,5.577240,7.461023,7.547368,8.717506,8.587018,14.139124,8.364194,7.407090,8.733769,6.986191,9.385838,6.765516,8.765865,8.336096,10.333758,8.659227,10.237350,9.753592,0,0.00300,0.00075,0.00268,0.00066,0.00071,0.00079,0.00104,0.00059,1.48484,0.09751,3.27721
0.002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155.007126,48.604500,80.214005,97.275703,0.656563,11.058127,6.993793,14.168823,7.385647,12.606166,0,6.132384,5.576585,7.449267,7.547457,8.718816,8.592697,14.149932,8.363255,7.397038,8.748045,6.981625,9.395800,6.764742,8.767180,8.330939,10.335649,8.658330,10.238326,9.753523,0,0.00293,0.00075,0.00272,0.00064,0.00069,0.00078,0.00102,0.00060,1.48328,0.09765,3.27713
0.003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155.933075,48.419861,80.543236,97.526886,0.711155,11.043659,6.995091,14.175362,7.387844,12.593870,0,6.132707,5.576396,7.442025,7.550388,8.720709,8.596385,14.151186,8.364093,7.382454,8.756265,6.979530,9.398765,6.759295,8.767529,8.324712,10.334482,8.658503,10.238107,9.752711,0,0.00291,0.00074,0.00276,0.00064,0.00069,0.00077,0.00100,0.00060,1.48472,0.09752,3.27720
0.004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,156.849472,48.237228,80.877380,97.778908,0.765462,11.029002,6.996404,14.181828,7.390012,12.581547,0,6.133030,5.576213,7.434847,7.553358,8.722610,8.600045,14.152304,8.364956,7.367806,8.764398,6.977470,9.401631,6.753780,8.767863,8.318469,10.333271,8.658690,10.237870,9.751890,0,0.00292,0.00074,0.00279,0.00063,0.00070,0.00078,0.00098,0.00060,1.48400,0.09732,3.27728
0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,157.765854,48.054600,81.211533,98.030930,0.819770,11.014346,6.997716,14.188293,7.392180,12.569222,0,6.133354,5.576030,7.427669,7.556329,8.724511,8.603705,14.153421,8.365820,7.353158,8.772531,6.975411,9.404497,6.748267,8.768198,8.312226,10.332061,8.658878,10.237634,9.751068,0,0.00291,0.00073,0.00325,0.00063,0.00073,0.00078,0.00096,0.00059,1.48499,0.09740,3.27706
0.006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,158.682236,47.871967,81.545685,98.282951,0.874077,10.999689,6.999028,14.194758,7.394348,12.556899,0,6.133677,5.575847,7.420491,7.559299,8.726412,8.607366,14.154539,8.366683,7.338509,8.780664,6.973351,9.407364,6.742753,8.768533,8.305984,10.330851,8.659066,10.237397,9.750246,0,0.00291,0.00070,0.00382,0.00062,0.00075,0.00079,0.00102,0.00060,1.48521,0.09757,3.27683
0.007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,157.501587,48.466263,82.056526,98.481277,0.880626,11.009861,7.000023,14.205079,7.398936,12.546020,0,6.133663,5.575590,7.412791,7.558098,8.724501,8.609383,14.156635,8.367167,7.329707,8.778047,6.964799,9.400293,6.733830,8.769575,8.301168,10.329812,8.659743,10.236604,9.751210,0,0.00288,0.00070,0.00402,0.00065,0.00076,0.00078,0.00102,0.00057,1.48433,0.09751,3.27668
0.008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,156.291153,49.071587,82.569878,98.678848,0.886497,11.020385,7.001014,14.215454,7.403559,12.535160,0,6.133643,5.575333,7.405084,7.556838,8.722535,8.611376,14.158746,8.367645,7.320988,8.775277,6.956154,9.393082,6.724860,8.770627,8.296373,10.328777,8.660426,10.235802,9.752200,0,0.00274,0.00069,0.00402,0.00066,0.00075,0.00077,0.00101,0.00056,1.48553,0.09710,3.27652
0.009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,155.080719,49.676910,83.083237,98.876419,0.892368,11.030909,7.002006,14.225829,7.408181,12.524301,0,6.133624,5.575075,7.397377,7.555578,8.720570,8.613369,14.160855,8.368124,7.312270,8.772508,6.947509,9.385871,6.715890,8.771679,8.291578,10.327742,8.661110,10.235000,9.753190,0,0.00271,0.00069,0.00398,0.00065,0.00080,0.00074,0.00102,0.00056,1.48422,0.09710,3.27697
